backend,selected_kernel,work_group_size,cl_compiler_options,matrix_dimensions,elapsed_s
myGEMM.cl, 2,16,-cl-std=CL1.2,1024, 1.11825
myGEMM.cl, 3,16,-cl-std=CL1.2,1024, 0.42916
myGEMM.cl, 3,32,-cl-std=CL1.2,1024, 0.44983
myGEMM.cl, 4,16,-cl-std=CL1.2,1024, 0.37086
myGEMM.cl, 4,32,-cl-std=CL1.2,1024, 0.40023
myGEMM.cl, 5,16,-cl-std=CL1.2,1024, 0.42593
myGEMM.cl, 5,32,-cl-std=CL1.2,1024, 0.37505
myGEMM.cl, 6,16,-cl-std=CL1.2,1024, 9.30637
myGEMM.cl, 6,32,-cl-std=CL1.2,1024, 9.20184
myGEMM.cl, 7,16,-cl-std=CL1.2,1024,10.22785
myGEMM.cl, 7,32,-cl-std=CL1.2,1024,10.24395
myGEMM.cl, 8,16,-cl-std=CL1.2,1024,10.30517
myGEMM.cl, 8,32,-cl-std=CL1.2,1024,10.32591
myGEMM.cl, 9,16,-cl-std=CL1.2,1024,10.76336
myGEMM.cl, 9,32,-cl-std=CL1.2,1024,10.42275
myGEMM.cl,10,16,-cl-std=CL1.2,1024,10.78053
myGEMM.cl,10,32,-cl-std=CL1.2,1024,10.93356
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,1.77349
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,14.64770
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.08762
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,0.70085
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,5.94331
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.08733
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,0.70196
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,5.92380
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.22376
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,1.77349
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,14.64770
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.08762
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,0.70085
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,5.94331
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.08733
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,0.70196
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,5.92380
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.08750
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,0.70096
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,5.98245
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.08734
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,0.70200
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,5.97151
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.22204
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,1.69981
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,14.20648
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.05419
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,0.43025
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,3.43715
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.05295
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,0.44700
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,3.43653
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.05265
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,0.43034
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,3.41655
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.05443
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,0.43710
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,3.42607
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05563
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.48594
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.76026
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05869
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.49369
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.78145
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05888
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.48185
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.70295
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05904
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.50488
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.66614
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05828
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.47220
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.61618
myGEMM.cl, 4,16,-cl-std=CL1.2,512,0.04917
myGEMM.cl, 4,16,-cl-std=CL1.2,1024,0.38314
myGEMM.cl, 4,16,-cl-std=CL1.2,2048,3.04455
myGEMM.cl, 4,16,-cl-std=CL1.2,512,0.04715
myGEMM.cl, 4,16,-cl-std=CL1.2,1024,0.37220
myGEMM.cl, 4,16,-cl-std=CL1.2,2048,2.97153
myGEMM.cl, 4,16,-cl-std=CL1.2,512,0.04673
myGEMM.cl, 4,16,-cl-std=CL1.2,1024,0.36965
myGEMM.cl, 4,16,-cl-std=CL1.2,2048,2.97658
myGEMM.cl, 4,16,-cl-std=CL1.2,512,0.04690
myGEMM.cl, 4,16,-cl-std=CL1.2,1024,0.37129
myGEMM.cl, 4,16,-cl-std=CL1.2,2048,2.97145
myGEMM.cl, 4,16,-cl-std=CL1.2,512,0.04771
myGEMM.cl, 4,16,-cl-std=CL1.2,1024,0.37263
myGEMM.cl, 4,16,-cl-std=CL1.2,2048,2.97598
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.40309
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,3.34882
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,32.74233
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.40745
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,3.34278
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,29.84844
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.40318
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,3.34921
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,29.67395
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.40266
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,3.36523
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,29.58425
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.40307
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,3.34400
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,29.99992
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.40338
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,3.35144
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,29.83655
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.40594
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,3.34454
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,30.02216
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.40131
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,3.35350
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,31.67518
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.40393
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,3.34328
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,35.61486
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.40729
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,3.33945
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,30.67835
myGEMM.cl, 1, 8,-cl-std=CL1.2,512,0.42873
myGEMM.cl, 1, 8,-cl-std=CL1.2,1024,3.41821
myGEMM.cl, 1, 8,-cl-std=CL1.2,2048,34.59101
myGEMM.cl, 1, 8,-cl-std=CL1.2,512,0.42621
myGEMM.cl, 1, 8,-cl-std=CL1.2,1024,3.33546
myGEMM.cl, 1, 8,-cl-std=CL1.2,2048,34.05447
myGEMM.cl, 1, 8,-cl-std=CL1.2,512,0.43042
myGEMM.cl, 1, 8,-cl-std=CL1.2,1024,3.34631
myGEMM.cl, 1, 8,-cl-std=CL1.2,2048,34.07813
myGEMM.cl, 1, 8,-cl-std=CL1.2,512,0.41614
